,dpi_setting,computer_no,delta_t,accuracy
3,2,2,1.062577009,1
4,2,2,0.877563,1
5,2,2,0.417732954,1
6,2,2,0.780987024,1
7,2,2,0.67501092,1
8,2,2,1.146673203,1
9,2,2,0.881347895,1
10,2,2,0.60591507,1
11,2,2,0.655024767,1
0,2,2,0.837606192,1
1,2,2,0.507953882,1
2,2,2,0.646113873,0.792273397
3,2,2,0.420850039,0.757152094
4,2,2,0.403970003,1
5,2,2,0.443989038,1
6,2,2,0.622004032,0.903431719
7,2,2,0.614338875,0.514981048
8,2,2,0.441725969,1
9,2,2,0.82994628,1
10,2,2,0.68952179,0.402825506
11,2,2,0.677428961,1
12,2,2,0.713026047,1
13,2,2,0.54201293,1
14,2,2,0.412990093,1
15,2,2,1.118350983,1
0,2,2,0.967959166,0.731860052
1,2,2,0.712869883,0.659907673
2,2,2,0.768090963,0.934487735
3,2,2,0.491355896,1
4,2,2,0.44870615,1
5,2,2,0.440927029,1
6,2,2,0.379079819,1
7,2,2,0.336399078,1
8,2,2,0.782508135,1
9,2,2,0.764745951,1
10,2,2,0.584339857,1
11,2,2,0.480064154,1
12,2,2,0.876764774,1
13,2,2,0.398069143,1
14,2,2,0.479995966,0.814970527
15,2,2,0.415988922,1
16,2,2,0.52920413,0.889870808
0,2,2,1.109688044,1
1,2,2,1.415142059,1
2,2,2,1.03690815,1
3,2,2,0.977170944,1
4,2,2,0.892027855,1
5,2,2,1.249248028,1
6,2,2,0.876055002,1
7,2,2,0.883002996,1
8,2,2,0.888382196,1
